inventory_id,product_id,quantity,minimum_stock,last_updated
1,9,20,50,2026-07-22 17:13:41
2,2,85,20,2026-09-08 23:02:48
3,3,150,40,2026-09-08 23:02:48
4,4,100,25,2026-09-08 23:02:48
5,5,200,50,2026-09-08 23:02:48
6,6,180,40,2026-09-08 23:02:48
7,7,75,20,2026-09-08 23:02:48
8,8,60,15,2026-09-08 23:02:48
9,9,90,25,2026-09-08 23:02:48
10,10,45,15,2026-09-08 23:02:48
11,11,35,10,2026-09-08 23:02:48
12,12,50,15,2026-09-08 23:02:48
13,13,18,25,2026-09-08 23:02:48
14,14,70,20,2026-09-08 23:02:48
15,15,22,25,2026-09-08 23:02:48
16,16,40,15,2026-09-08 23:02:48
17,17,12,20,2026-09-08 23:02:48
18,18,55,15,2026-09-08 23:02:48
19,19,65,20,2026-09-08 23:02:48
20,20,30,10,2026-09-08 23:02:48
