purchase_id,product_id,supplier_id,quantity,purchase_price,purchase_date
1,1,1,50,600.0,2026-08-01
2,2,2,40,250.0,2026-08-02
3,3,3,60,140.0,2026-08-03
4,4,3,45,125.0,2026-08-04
5,5,4,80,42.0,2026-08-05
6,6,4,70,20.0,2026-08-06
7,7,5,35,130.0,2026-08-07
8,8,5,30,155.0,2026-08-08
9,9,6,50,55.0,2026-08-09
10,10,6,30,38.0,2026-08-10
11,11,7,20,250.0,2026-08-11
12,12,7,25,105.0,2026-08-12
13,13,8,60,45.0,2026-08-13
14,14,8,50,32.0,2026-08-14
15,15,8,55,36.0,2026-08-15
16,16,9,30,140.0,2026-08-16
17,17,9,40,55.0,2026-08-17
18,18,9,35,85.0,2026-08-18
19,19,10,25,105.0,2026-08-19
20,20,10,20,160.0,2026-08-20
