sale_id,product_id,quantity,selling_price,sale_date
1,1,15,650.0,2026-08-01
2,2,12,280.0,2026-08-02
3,3,20,160.0,2026-08-03
4,4,15,145.0,2026-08-04
5,5,30,48.0,2026-08-05
6,6,25,25.0,2026-08-06
7,7,18,145.0,2026-08-07
8,8,12,175.0,2026-08-08
9,9,25,65.0,2026-08-09
10,10,15,45.0,2026-08-10
11,11,10,280.0,2026-08-11
12,12,12,120.0,2026-08-12
13,13,8,55.0,2026-08-13
14,14,20,40.0,2026-08-14
15,15,10,45.0,2026-08-15
16,16,15,160.0,2026-08-16
17,17,8,70.0,2026-08-17
18,18,12,100.0,2026-08-18
19,19,10,120.0,2026-08-19
20,20,8,180.0,2026-08-20
